Date,Open,High,Low,Close,Adj Close,Volume,Increase/Decrease,,Buy_Sell_on_Open,,Buy_Sell,Return
8/22/2016,14.944667,15.007333,14.845333,14.862,14.862,30982500,0.005531,0.010913,1,1,1,-0.0092
8/23/2016,14.954667,15.232667,14.853333,14.989333,14.989333,71766000,-0.002318,0.025539,0,1,0,0.008568
8/24/2016,15.136667,15.143333,14.814667,14.841333,14.841333,38560500,0.019511,0.022185,0,0,0,-0.009874
8/25/2016,14.874,14.92,14.718,14.730667,14.730667,26437500,0.009636,0.013725,1,0,0,-0.007457
8/26/2016,14.809333,14.857333,14.588,14.666,14.666,33585000,0.009679,0.018463,1,0,0,-0.00439
8/29/2016,14.676667,14.693333,14.333333,14.346667,14.346667,48994500,0.022485,0.025116,0,0,0,-0.021774
8/30/2016,14.407333,14.407333,14.034667,14.089333,14.089333,47533500,0.022072,0.026553,1,0,1,-0.017937
8/31/2016,14.028667,14.173333,13.91,14.134,14.134,49147500,-0.007508,0.018931,1,0,0,0.00317
9/1/2016,13.934,14.073333,13.366667,13.384667,13.384667,119146500,0.039424,0.052868,0,0,0,-0.053016
9/2/2016,13.488667,13.546667,13.08,13.185333,13.185333,89661000,0.022488,0.035678,0,0,1,-0.014893
9/6/2016,13.268,13.55,13.266667,13.522,13.522,65859000,-0.019144,0.021357,0,1,0,0.025533
9/7/2016,13.7,13.766667,13.380667,13.447333,13.447333,54613500,0.018443,0.028848,0,0,0,-0.005522
9/8/2016,13.303333,13.326,13.090667,13.157333,13.157333,50668500,0.010975,0.017977,1,0,0,-0.021566
9/9/2016,13.272667,13.328,12.913333,12.964667,12.964667,56355000,0.023206,0.032112,0,0,1,-0.014643
9/12/2016,13,13.424667,12.94,13.22,13.22,55728000,-0.016923,0.037455,0,1,0,0.019695
9/13/2016,13.137333,13.232667,12.896667,13.07,13.07,53841000,0.005125,0.026053,0,0,1,-0.011346
9/14/2016,13.05,13.194667,12.990667,13.094,13.094,33817500,-0.003372,0.015704,1,1,1,0.001836
9/15/2016,13.099333,13.501333,13.093333,13.361333,13.361333,46158000,-0.020001,0.031161,1,1,1,0.020416
9/16/2016,13.361333,13.713333,13.266667,13.693333,13.693333,46617000,-0.024848,0.033668,0,1,1,0.024848
9/19/2016,13.8,13.962,13.666667,13.756,13.756,34492500,0.003188,0.02161,1,0,0,0.004576
9/20/2016,13.79,13.85,13.594,13.642667,13.642667,36157500,0.010684,0.018832,1,0,1,-0.008239
9/21/2016,13.758,13.8,13.437333,13.681333,13.681333,39502500,0.005573,0.02699,0,1,1,0.002834
9/22/2016,13.76,13.818667,13.533333,13.762,13.762,35743500,-0.000145,0.021084,1,0,1,0.005896
9/23/2016,13.732667,14.012,13.711333,13.83,13.83,43578000,-0.007088,0.021928,0,1,1,0.004941
9/26/2016,13.766667,14.066667,13.766667,13.932667,13.932667,35916000,-0.012058,0.021792,1,1,0,0.007423
9/27/2016,13.976667,13.998667,13.640667,13.720667,13.720667,50598000,0.018316,0.026245,0,0,1,-0.015216
9/28/2016,13.834,13.883333,13.684,13.751333,13.751333,31326000,0.005976,0.014567,1,0,0,0.002235
9/29/2016,13.706667,13.822,13.372,13.38,13.38,40905000,0.023833,0.033652,0,0,1,-0.027003
9/30/2016,13.480667,13.665333,13.303333,13.602,13.602,38794500,-0.009001,0.027211,1,1,1,0.016592
10/3/2016,14.153333,14.378,13.883333,14.246667,14.246667,89998500,-0.006595,0.03563,0,1,0,0.047395
10/4/2016,14.206667,14.221333,13.921333,14.094,14.094,53122500,0.007931,0.02155,0,0,0,-0.010716
10/5/2016,14.149333,14.21,13.874667,13.897333,13.897333,28162500,0.01781,0.024169,1,0,0,-0.013954
10/6/2016,13.497333,13.614,13.347333,13.4,13.4,70551000,0.007211,0.019979,0,0,0,-0.035786
